"RouteID","StopID","EstimateTime","GoBack"
"16651","192011","-1","2"
"17923","196649","-1","2"
"16487","128917","0","1"
"17565","181309","4003","2"
"17563","181295","-3","3"
"16891","159909","2969","0"
"16865","158918","2277","2"
"16269","113723","-1","2"
"16732","154223","2077","1"
"16462","127427","86","1"
"10281","12761","945","0"
"10116","20192","9526","2"
"16530","132949","-3","3"
"10148","33905","69","0"
"16843","158256","2008","2"
"17963","198577","-3","3"
"16835","158087","1172","1"
"17945","199140","1775","0"
"17835","192850","-3","3"
"17671","185274","-1","2"
"10772","38505","-1","2"
"16912","194492","3081","0"
"16670","147696","-1","2"
"16629","141950","6434","2"
"16393","122072","975","1"
"17806","202593","1250","0"
"16513","130964","2539","0"
"16688","149568","257","1"
"17518","178743","507","1"
"16641","142658","-3","3"
"17432","194287","-3","3"
"16575","137684","-1","2"
"16282","150921","-1","2"
"16513","130984","41","1"
"16694","150289","763","1"
"17663","184689","7280","2"
"17530","186970","4221","0"
"16693","150177","637","1"
"16670","147715","780","0"
"16689","175751","332","1"
"17958","198384","-1","2"
"17532","179685","540","0"
"16665","147479","-1","2"
"16958","161765","-1","2"
"16681","148385","-1","2"
"17516","185574","4006","2"
"16865","158884","7381","2"
"16557","203021","-1","2"
"16800","157701","-1","2"
"16758","156190","-1","2"
"17648","184498","-3","3"
"16665","147514","2013","0"
"16675","147975","942","2"
"10753","38317","1107","1"
"10195","34937","829","0"
"15181","44665","838","1"
"5413","32998","288","0"
"17918","196398","-3","3"
"16602","139952","5529","2"
"17668","184948","-1","2"
"16527","132756","-1","2"
"16407","122522","80","1"
"16960","186661","-1","2"
"17532","179712","359","1"
"17501","177745","817","0"
"16787","157508","-1","2"
"16844","158282","-3","3"
"16896","160014","366","2"
"16581","138147","509","1"
"16612","140702","600","1"
"16604","140152","385","0"
"10195","35013","57","1"
"16554","134379","-4","2"
"17001","162685","1163","0"
"16681","148346","-1","2"
"16761","156598","2486","2"
"16532","200357","4813","2"
"16660","147239","-1","2"
"17914","196104","159","1"
"16717","152506","1562","0"
"17692","186458","-4","2"
"17432","174226","-3","3"
"10143","13809","402","0"
"16660","147314","-1","2"
"16689","190462","1755","0"
"16659","145445","95","1"
"17718","188338","3513","2"
"16397","153900","-1","2"
"17941","199844","169","0"
"17483","176608","1953","2"
"17672","193231","129","2"
"16609","140538","6307","2"
"18068","202888","-1","2"
"17530","185077","5534","2"
"17990","199525","2049","2"
"16627","141765","-1","2"
"16969","161985","-1","2"
"16731","154289","850","0"
"17811","191786","-3","3"
"16603","140100","251","1"
"16752","156508","2937","2"
"17300","169919","788","0"
"16485","128777","466","0"
"17692","188215","-4","2"
"17809","191720","-1","2"
"17680","188723","-1","2"
"16655","145154","408","0"
"16857","174071","-1","2"
"16873","159250","-1","2"
"16867","158987","377","0"
"16863","158767","157","2"
"17838","192918","275","0"
"16425","123724","1521","2"
"16581","138107","395","0"
"16694","150280","2056","0"
"10475","10424","-1","2"
"16755","156004","431","0"
"17668","201689","1101","0"
"16581","138101","770","0"
"16515","131400","340","1"
"16521","131835","444","0"
"16642","142732","3351","2"
"16123","18875","0","1"
"10492","37255","-1","2"
"16557","203028","-1","2"
"16511","130724","1458","0"
"16685","149309","3415","0"
"16964","161880","5686","2"
"16731","198939","876","1"
"16481","128455","427","1"
"16592","139172","-1","2"
"17515","178496","278","0"
"16926","161064","3227","2"
"10172","34539","76","1"
"17466","175031","3176","0"
"16835","158047","3212","2"
"18016","200371","-3","3"
"16464","127513","107","1"
"16642","199896","2507","0"
"16515","131367","847","1"
"10195","34959","785","0"
"16513","130993","720","1"
"16604","140166","-1","2"
"16191","110082","2904","0"
"16274","113921","403","0"
"17806","202594","1307","0"
"17007","162883","3025","2"
"16500","129662","44","1"
"16752","156500","2257","2"
"16611","140654","85","1"
"17815","193327","-3","3"
"16761","156616","4280","2"
"16678","198168","-4","2"
"16189","109978","2853","0"
"16272","113867","-4","2"
"16274","113927","-4","2"
"16499","129589","633","1"
"16571","137204","5701","2"
"16562","135051","1181","1"
"16500","129610","-1","2"
"16123","124953","50","0"
"16551","195084","-4","2"
"10196","35082","110","0"
"10325","21163","624","1"
"17304","169421","1933","1"
"17517","178648","246","1"
"16694","150243","686","0"
"16427","151190","110","1"
"17523","178968","1131","0"
"17479","176273","2578","2"
"16782","157459","5606","2"
"17941","199840","873","0"
"17832","193090","-1","2"
"16581","138121","187","1"
"16695","150370","5882","2"
"10732","195664","777","1"
"16679","148203","-4","2"
"16610","140580","579","0"
"10732","138428","37","1"
