"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"16637","16224","國光客運","780","780","158915","780內盤山","780 Neipanshan","10","雙溪火車站","Shuangxi","盤山坑","Panshankeng","4","27.6","0555","0635","1610","1650","","本路線下坑口、外盤山、內盤山三站，目前通訊不良，無法提供準確的預估資訊","","","0555","0635","1610","1650","","本路線下坑口、外盤山、內盤山三站，目前通訊不良，無法提供準確的預估資訊。","","","柑腳-長源","Ganjiao-Changyuan","二段票","Charge for 2 sections"
"16644","16224","國光客運","781","781","157704","781雙溪火車站","781 Shuangx Rail Sta.","10","雙溪火車站","Shuangxi","長源","Changyuan","99","99","0745","0530","1945","1755","","","","","0745","0530","1945","1755","","","","","","","一段票","1 segments"
"16644","16224","國光客運","781","781","158916","781長源","781 Changyuan","10","雙溪火車站","Shuangxi","長源","Changyuan","99","99","0745","0530","1945","1755","","","","","0745","0530","1945","1755","","","","","","","一段票","1 segments"
"16692","16179","三重客運","783","783","157777","783","783","10","五股","Wugu","臺北","Taipei","76","41.6","0530","0530","2150","2150","","","","","0530","0530","2150","2150","","","","","新泰中正路口-五谷王廟","Xintai Rd. Intersection-Wuguwang Temple","二段票","Charge for 2 sections"
"16693","16179","三重客運","785","785","157778","785","785","10","觀音山","Guanyinshan","臺北北門","Beimen","34","36.9","0600","0600","1810","1810","","","","","0600","0600","1810","1810","","","","","灰瑤-三重派出所(福德北路)","Huiyao-Sanchong Police Station","二段票","Charge for 2 sections"
"16694","16179","三重客運","786","786","157779","786","786","10","華亞園區","Hwa Ya Park","板橋","Banqiao","100","49.1","0500","0500","2200","2200","1520","","2530","","0500","0500","2200","2200","","","2530","2530","黎明技術學院-捷運新莊站","Leeming Institute Of Technology-MRT Xinzhuang Station","二段票","Charge for 2 sections"
"17719","16179","三重客運","786區","786","158902","786區","786 Shuttle","10","華亞園區","Hwa Ya Park","捷運新莊站","MRT Xinzhuang Sta.","2","36.25","0540","0540","0600","0600","","","","","","","","","例假日停駛","","","","","","一段票","Charge for 1 sections"
"16642","16190","基隆客運","787","787","157702","787瑞芳至維也納","787 Ruifang-Vienna","10","瑞芳","Ruifang","基隆(富景天下)","Keelung","46","38.8","0610","0515","2215","2110","","","","","0615","0515","2215","2115","","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16642","16190","基隆客運","787","787","158918","787松竹梅至瑞芳","787 Songzhumei-Ruifang","10","瑞芳","Ruifang","基隆(富景天下)","Keelung","46","38.8","0610","0515","2215","2110","","","","","0615","0515","2215","2115","","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16642","16190","基隆客運","787","787","159633","787瑞芳至維也納(繞四腳亭農會)","787 Ruifang-Vienna(Sub Sijiaoting Farmers Association)","10","瑞芳","Ruifang","基隆(富景天下)","Keelung","46","38.8","0610","0515","2215","2110","","","","","0615","0515","2215","2115","","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16642","16190","基隆客運","787","787","159634","787松竹梅至瑞芳(繞四腳亭農會)","787 Songzhumei-Ruifang(Sub Sijiaoting Farmers Association)","10","瑞芳","Ruifang","基隆(富景天下)","Keelung","46","38.8","0610","0515","2215","2110","","","","","0615","0515","2215","2115","","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16681","16190","基隆客運","787經瑞芳工業區","787Rueifang Industry Park","157745","787瑞芳至維也納(經瑞芳工業區)","787 Ruifang-Vienna(Sub Rueifang Industry Park)","10","瑞芳","Ruifang","基隆","Keelung","46","38.8","0645","0610","1725","1725","","","","","","","","","停駛","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16681","16190","基隆客運","787經瑞芳工業區","787Rueifang Industry Park","159787","787松竹梅至瑞芳(經瑞芳工業區和繞四腳亭農會)","787 Songzhumei-Ruifang(Sub Rueifang Industry Park & Sijiaoting Farmers Association)","10","瑞芳","Ruifang","基隆","Keelung","46","38.8","0645","0610","1725","1725","","","","","","","","","停駛","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16681","16190","基隆客運","787經瑞芳工業區","787Rueifang Industry Park","158919","787松竹梅至瑞芳(經瑞芳工業區)","787 Songzhumei-Ruifang(Sub Rueifang Industry Park)","10","瑞芳","Ruifang","基隆","Keelung","46","38.8","0645","0610","1725","1725","","","","","","","","","停駛","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16681","16190","基隆客運","787經瑞芳工業區","787Rueifang Industry Park","159635","787瑞芳至維也納(經瑞芳工業區和繞四腳亭農會)","787 Ruifang-Vienna(Sub Rueifang Industry Park & Sijiaoting Farmers Association)","10","瑞芳","Ruifang","基隆","Keelung","46","38.8","0645","0610","1725","1725","","","","","","","","","停駛","","","","四腳亭","Sijiaoting","二段票","3 segments"
"16641","16190","基隆客運","788去水湳洞","788-Go-Shuinan Don","157701","788去水湳洞","788 Go Shuinan Dong","10","基隆","Keelung","水湳洞","Shueinandong","8","26.6","0600","0600","0900","0900","","","","","","","","","假日不行駛水湳洞","","","","三坑口-新北市界","Sankengkou-New Tiapei City Line","二段票","Charge for 2 sections"
"17648","16190","基隆客運","788返水湳洞","788-Back-Shuinan Don","158824","788返水湳洞","788 Shuinan Dong Back","10","水湳洞","Shueinandong","基隆","Keelung","8","26.6","0730","0730","1040","1040","","","","","","","","","假日不行駛水湳洞","","","","三坑口-新北市界","Sankengkou-New Tiapei City Line","二段票","2 segments"
"17501","16190","基隆客運","788去海科館","788 Marine Science Museum go","158664","788去海科館","788 Go Marine Science Museum ","10","基隆","Keelung","金瓜石","Jinguashih","14","26.6","0730","0730","1710","1710","","","","","1000","1000","1800","1800","","","","","新北市界","新北市界","二段票","Charge for 2 sections"
"16753","16190","基隆客運","788往金瓜石","788-Chinkuashih","157868","788往金瓜石","788 Go Jinguashi","10","基隆","Keelung","金瓜石","Chinkuashih","120","21.1","0520","0520","2240","2240","1520","","2530","","0530","0530","2230","2230","","","1520","2530","三坑口-新北市界","Sankengkou-New Tiapei City Line","二段票","2 segments"
"16755","16190","基隆客運","788往基隆","788keelung","157870","788往基隆","788 Go Keelung","10","金瓜石","Chinkuashih","基隆","Keelung","120","21.1","0500","0500","2200","2200","1520","","2530","","0500","0500","2155","2155","","","1520","2530","三坑口-新北市界","Sankengkou-New Tiapei City Line","二段票","2 segments"
"16739","16190","基隆客運","789","789","157844","789國家新城","789National Park","10","國家新城","Guojia New Village","崁腳","Kanjiao","8","55.6","0505","0600","1615","1715","","","","","0600","0700","1450","1600","","","","","武嶺街口-基隆市界，北基新城","Wuling St.-Keelung City Line, Beiji Xincheng","三段票","3 segments"
"16739","16190","基隆客運","789","789","158920","789崁腳","789Kanjiao","10","國家新城","Guojia New Village","崁腳","Kanjiao","8","55.6","0505","0600","1615","1715","","","","","0600","0700","1450","1600","","","","","武嶺街口-基隆市界，北基新城","Wuling St.-Keelung City Line, Beiji Xincheng","三段票","3 segments"
"16740","16190","基隆客運","790","790","157845","790","790","10","金山南勢","Jinshan","基隆","Keelung","96","54","0500","0550","2200","2250","15","","2030","","0500","0550","2200","2250","","","15","2030","野柳、基隆市界-武聖街口","Yeliu、Keelung City Line-Wusheng St. Intersection","三段票","3 segments"
"17500","16190","基隆客運","790漁港","790Fishing port","158663","790漁港金山(南勢)","790 Fishing port Jinshan (Nanshih)","10","金山南勢","Jinshan","基隆","Keelung","18","54","0600","0655","2030","2120","","","","","","","","","假日停駛","","","","野柳、基隆市界-武聖街口","Yeliu、Keelung City Line-Wusheng St. Intersection","三段票","Charge for 3 sections"
"17500","16190","基隆客運","790漁港","790Fishing port","158921","790漁港基隆火車站(仁祥診所)","790 Fishing port Keelung Rail Station(Renxiang Hospital)","10","金山南勢","Jinshan","基隆","Keelung","18","54","0600","0655","2030","2120","","","","","","","","","假日停駛","","","","野柳、基隆市界-武聖街口","Yeliu、Keelung City Line-Wusheng St. Intersection","三段票","Charge for 3 sections"
"16682","16190","基隆客運","791","791","157746","791國家新城(新北市)","791National Park","10","國家新城","Guojia New Village","福隆","Fulong","34","86","0440","0600","2130","2250","","","","","0510","0640","2130","2250","","","","","二信分社-八斗子，瑞濱、南雅南新宮、和美","Fish Market-Badouzi，Ruibin、Nanyananxin Tample、Hemei","五段票","5 segments"
"16682","16190","基隆客運","791","791","158906","791福隆(新北市)","791Fulong","10","國家新城","Guojia New Village","福隆","Fulong","34","86","0440","0600","2130","2250","","","","","0510","0640","2130","2250","","","","","二信分社-八斗子，瑞濱、南雅南新宮、和美","Fish Market-Badouzi，Ruibin、Nanyananxin Tample、Hemei","五段票","5 segments"
"17718","16190","基隆客運","791經貢寮區衛生","791Health","158901","791經貢寮區衛生國家新城","791 National Park","10","國家新城","Guojia New Village","福隆","Fulong","5","97.8","0620","1010","0731","1140","","例假日停駛","","","","","","","","","","","二信分社-八斗子，瑞濱、南雅南新宮、和美","Fish Market-Badouzi，Ruibin、Nanyananxin Tample、Hemei","五段票","5 segments"
"17718","16190","基隆客運","791經貢寮區衛生","791Health","159190","791經貢寮區衛生福隆","791 Fulong","10","國家新城","Guojia New Village","福隆","Fulong","5","97.8","0620","1010","0731","1140","","例假日停駛","","","","","","","","","","","二信分社-八斗子，瑞濱、南雅南新宮、和美","Fish Market-Badouzi，Ruibin、Nanyananxin Tample、Hemei","五段票","5 segments"
"16689","16176","臺北客運","793","793","157774","793","793","10","樹林","Shulin","動物園","Taipei Zoo","70","67","0430","0430","2010","2010","","假日發車班次網頁顯示為兩日所有班次內容，詳細各別六、日內容請參閱簡圖班次說明部分","","","0530","0530","1700","1700","","","","","積穗(員山路)-捷運秀朗橋站","Jisui-MRT Xiulang Bridge Sta.","兩段票","2 segments"
"16757","16176","臺北客運","795往十分寮","795Shifenliao","157872","795往十分寮","795 Shifenliao","10","木柵","Muzha","十分寮","Shifenliao","50","34","0500","0500","1915","1915","","","","","0500","","1930","","","","","","雙溪口，五坑","Shuangxiko-Wukeng","三段票","3 segments"
"16719","16176","臺北客運","795往木柵","795Muzha","157817","795往木柵","795 Muzha","10","十分寮、平溪","Shifenliao、Pingxi","木柵","Muzha","50","34","0540","0540","2330","2330","","","","","0600","0600","2330","2330","","","","","雙溪口，五坑","Shuangxiko-Wukeng","三段票",""
